"","Completes","Revenue","Profit","PPT Cost","Revenue Per Call","Profit Per Call","Payroll Cost","Truck Cost","Payroll Cost Per Call","Truck Cost Per Call","PPT Cost Per Call","Profit Margin"
"","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)"
"YOY","3,177","$465,081","$56,125","$408,956","$146.39","$17.67","$192,064","$63,523","$60.45","$19.99","$128.72","12.07%"
"YOY%","-85.74%","-78.41%","-28.03%","-85.33%","51.38%","404.75%","-84.41%","-85.77%","9.30%","-0.21%","2.89%","233.42%"
"LW","1,503","$285,977","$95,329","$190,648","$190.27","$63.43","$98,289","$29,009","$65.40","$19.30","$126.85","33.33%"
"LW%","-69.86%","-64.90%","-57.63%","-68.53%","16.47%","40.59%","-69.55%","-68.84%","1.05%","3.38%","4.41%","20.71%"
"Appliance View","","","","","","","","","","","",""
"Refrigerator/Freezer","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Dryer","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Range/Cooktop/Oven","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Dishwasher","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Washer","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Mwave","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Hvac","453","$100,389","$40,394","$59,995","$221.61","$89.17","$29,934","$9,039","$66.08","$19.95","$132.44","40.24%"
"Other","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Disposer/Compactor","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Lawn/Gard/Garage","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"GE (General Electric)","99","$24,518","$4,127","$20,391","$247.65","$41.68","$6,977","$2,574","$70.48","$26.00","$205.97","16.83%"
"YOY","1,016","$180,478","$875","$179,602","$177.64","$0.86","$64,189","$24,252","$63.18","$23.87","$176.77","0.49%"
"YOY%","-90.26%","-86.42%","371.38%","-88.65%","39.42%","4,737.65%","-89.13%","-89.39%","11.55%","8.92%","16.52%","3,369.90%"
"LW","349","$77,926","$10,015","$67,911","$223.29","$28.70","$24,067","$9,315","$68.96","$26.69","$194.59","12.85%"
"LW%","-71.63%","-68.54%","-58.80%","-69.97%","10.91%","45.25%","-71.01%","-72.37%","2.20%","-2.59%","5.85%","30.96%"
"Appliance View","","","","","","","","","","","",""
"Refrigerator/Freezer","22","$6,089","$1,565","$4,524","$276.76","$71.13","$1,363","$435","$61.96","$19.76","$205.63","25.70%"
"Dryer","19","$3,718","$505","$3,213","$195.68","$26.58","$1,450","$649","$76.31","$34.14","$169.11","13.58%"
"Range/Cooktop/Oven","19","$6,713","$276","$6,438","$353.34","$14.51","$1,624","$568","$85.48","$29.90","$338.83","4.11%"
"Dishwasher","15","$2,695","$761","$1,933","$179.64","$50.75","$886","$272","$59.07","$18.16","$128.89","28.25%"
"Washer","23","$5,087","$973","$4,114","$221.17","$42.29","$1,603","$635","$69.72","$27.60","$178.89","19.12%"
"Mwave","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Hvac","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Other","1","$216","$47","$169","$216.22","$47.33","$51","$15","$50.72","$15.20","$168.89","21.89%"
"Disposer/Compactor","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"First American Home Buyers","106","$28,738","$5,548","$23,191","$271.12","$52.34","$8,886","$3,259","$83.83","$30.74","$218.78","19.30%"
"YOY","1,019","$159,440","-$4,096","$163,537","$156.47","-$4.02","$64,244","$21,773","$63.05","$21.37","$160.49","-2.57%"
"YOY%","-89.60%","-81.98%","-235.43%","-85.82%","73.27%","-1,401.94%","-86.17%","-85.03%","32.97%","43.88%","36.32%","-851.38%"
"LW","330","$69,677","$11,070","$58,608","$211.14","$33.54","$23,373","$8,523","$70.83","$25.83","$177.60","15.89%"
"LW%","-67.88%","-58.75%","-49.88%","-60.43%","28.40%","56.02%","-61.98%","-61.76%","18.36%","19.04%","23.19%","21.51%"
"Appliance View","","","","","","","","","","","",""
"Refrigerator/Freezer","28","$7,267","$985","$6,282","$259.54","$35.17","$2,503","$936","$89.38","$33.43","$224.37","13.55%"
"Dryer","9","$2,170","$664","$1,506","$241.14","$73.81","$547","$196","$60.74","$21.75","$167.33","30.61%"
"Range/Cooktop/Oven","26","$7,832","$821","$7,010","$301.22","$31.59","$2,601","$999","$100.04","$38.44","$269.63","10.49%"
"Dishwasher","18","$4,682","$972","$3,710","$260.11","$54.00","$1,256","$438","$69.75","$24.32","$206.11","20.76%"
"Washer","22","$6,067","$1,788","$4,279","$275.79","$81.29","$1,782","$652","$80.99","$29.62","$194.51","29.47%"
"Mwave","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Hvac","3","$720","$317","$403","$239.97","$105.64","$198","$38","$66.09","$12.66","$134.33","44.02%"
"Other","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Disposer/Compactor","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Lawn/Gard/Garage","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"LG","74","$24,086","$3,952","$20,135","$325.49","$53.40","$5,545","$1,897","$74.93","$25.64","$272.09","16.41%"
"YOY","988","$176,674","$15,874","$160,800","$178.82","$16.07","$57,249","$20,775","$57.94","$21.03","$162.75","8.98%"
"YOY%","-92.51%","-86.37%","-75.10%","-87.48%","82.02%","232.39%","-90.31%","-90.87%","29.31%","21.93%","67.18%","82.61%"
"LW","214","$61,002","$7,728","$53,273","$285.05","$36.11","$16,527","$6,016","$77.23","$28.11","$248.94","12.67%"
"LW%","-65.42%","-60.51%","-48.86%","-62.21%","14.19%","47.88%","-66.45%","-68.46%","-2.98%","-8.80%","9.30%","29.51%"
"Appliance View","","","","","","","","","","","",""
"Refrigerator/Freezer","8","$3,092","$1,021","$2,070","$386.47","$127.66","$516","$110","$64.54","$13.73","$258.81","33.03%"
"Dryer","10","$2,834","$212","$2,622","$283.37","$21.17","$889","$329","$88.89","$32.89","$262.20","7.47%"
"Range/Cooktop/Oven","18","$4,255","$1,014","$3,241","$236.40","$56.32","$1,067","$342","$59.28","$19.02","$180.08","23.82%"
"Dishwasher","12","$2,894","$441","$2,453","$241.18","$36.78","$896","$273","$74.65","$22.76","$204.40","15.25%"
"Washer","26","$11,012","$1,264","$9,748","$423.53","$48.61","$2,177","$843","$83.72","$32.42","$374.92","11.48%"
"Mwave","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Hvac","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Other","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Disposer/Compactor","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Cinch","22","$5,928","$1,925","$4,003","$269.45","$87.49","$1,558","$549","$70.80","$24.96","$181.96","32.47%"
"YOY","322","$66,057","$9,022","$57,035","$205.15","$28.02","$20,290","$7,579","$63.01","$23.54","$177.13","13.66%"
"YOY%","-93.17%","-91.03%","-78.67%","-92.98%","31.34%","212.26%","-92.32%","-92.75%","12.37%","6.05%","2.73%","137.74%"
"LW","45","$11,613","$1,985","$9,628","$258.06","$44.11","$3,540","$1,229","$78.68","$27.32","$213.95","17.09%"
"LW%","-51.11%","-48.95%","-3.04%","-58.42%","4.41%","98.33%","-56.00%","-55.33%","-10.01%","-8.63%","-14.95%","89.95%"
"Appliance View","","","","","","","","","","","",""
"Refrigerator/Freezer","2","$482","$95","$387","$240.79","$47.40","$139","$55","$69.56","$27.52","$193.39","19.69%"
"Dryer","3","$763","$202","$561","$254.19","$67.35","$227","$95","$75.72","$31.71","$186.84","26.50%"
"Range/Cooktop/Oven","6","$1,842","$740","$1,103","$307.04","$123.26","$489","$190","$81.54","$31.62","$183.78","40.14%"
"Dishwasher","3","$698","$87","$610","$232.60","$29.16","$283","$94","$94.37","$31.18","$203.44","12.54%"
"Washer","8","$2,144","$801","$1,343","$267.96","$100.11","$419","$116","$52.38","$14.47","$167.85","37.36%"
"Mwave","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Hvac","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Other","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Disposer/Compactor","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Lawn/Gard/Garage","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"EMA/Electrolux","127","$30,531","$8,054","$22,476","$240.40","$63.42","$8,987","$2,969","$70.76","$23.38","$176.98","26.38%"
"YOY","383","$54,728","-$4,540","$59,268","$142.89","-$11.85","$23,784","$8,949","$62.10","$23.37","$154.75","-8.30%"
"YOY%","-66.84%","-44.21%","-277.42%","-62.08%","68.24%","-635.04%","-62.22%","-66.82%","13.95%","0.05%","14.37%","-418.03%"
"LW","316","$73,377","$8,424","$64,953","$232.20","$26.66","$24,303","$9,056","$76.91","$28.66","$205.55","11.48%"
"LW%","-59.81%","-58.39%","-4.38%","-65.40%","3.53%","137.91%","-63.02%","-67.21%","-7.99%","-18.42%","-13.90%","129.80%"
"Appliance View","","","","","","","","","","","",""
"Refrigerator/Freezer","77","$18,591","$6,262","$12,329","$241.45","$81.33","$4,972","$1,669","$64.57","$21.67","$160.12","33.68%"
"Dryer","2","$320","$181","$139","$160.00","$90.51","$83","$29","$41.40","$14.34","$69.49","56.57%"
"Range/Cooktop/Oven","23","$5,748","$882","$4,866","$249.91","$38.33","$1,842","$669","$80.08","$29.11","$211.57","15.34%"
"Dishwasher","9","$1,928","$660","$1,269","$214.27","$73.28","$517","$174","$57.42","$19.37","$140.99","34.20%"
"Washer","10","$2,941","$90","$2,851","$294.08","$8.95","$1,116","$295","$111.63","$29.49","$285.13","3.04%"
"Mwave","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Hvac","6","$1,002","-$20","$1,022","$167.04","-$3.29","$457","$133","$76.14","$22.14","$170.32","-1.97%"
"Other","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Disposer/Compactor","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"New Leaf","7","$1,419","$755","$664","$202.69","$107.87","$315","$107","$45.03","$15.24","$94.82","53.22%"
"YOY","165","$22,201","-$151","$22,353","$134.55","-$0.92","$9,323","$3,284","$56.50","$19.90","$135.47","-0.68%"
