"","202506","202505","202504","202503","202502","202501","202412","202411","202410","202409","202408","202407","202406","202405","202404","202403","202402","202401"
"PARTS UNMARKED COST","$14,533","$20,758","$15,571","$11,399","$16,797","$7,369","$8,769","$14,457","$17,555","$28,526","$34,243","$35,005","$31,994","$26,540","$23,721","$44,994","$86,635","$3,182"
"TRUCK COST","$590,635","$870,192","$627,862","$603,084","$746,559","$574,963","$671,004","$853,824","$756,298","$726,886","$818,450","$753,942","$774,538","$921,365","$705,391","$707,877","$912,790","$0"
"UPS SHIPMENT COST","$78,697","$128,842","$108,036","$95,593","$134,278","$131,367","$112,807","$113,870","$81,019","$107,167","$132,576","$138,217","$113,721","$124,794","$80,264","$52,280","$88,707","$53,874"
"ED","10,542","14,948","1","11,269","13,999","12,034","11,783","14,462","12,979","12,776","15,501","13,395","14,078","17,090","11,949","10,147","14,387","12,167"
"ED RATE","26.53%","24.77%","0.00%","24.75%","24.11%","24.47%","23.63%","23.02%","22.90%","22.27%","22.66%","22.15%","23.61%","23.34%","23.97%","22.92%","21.98%","21.54%"
"RECALLS","595","1,455","965","975","1,447","1,352","1,560","1,743","1,588","1,708","2,044","1,630","1,471","1,841","1,212","982","1,947","1,879"
"RECALL RATE","2.04%","3.20%","2.91%","2.85%","3.28%","3.64%","4.10%","3.60%","3.63%","3.83%","3.86%","3.46%","3.23%","3.28%","3.20%","2.88%","3.81%","4.24%"
"N ATP PER CALL","1.22","1.23","1.19","1.20","1.21","1.19","1.19","1.18","1.18","1.16","1.15","1.15","1.13","1.13","1.12","1.05","1.21","1.19"
"REPAIR TIME PER CALL","44.89","44.28","44.73","45.72","45.53","42.62","42.75","42.11","42.11","44.00","43.58","42.96","42.26","42.39","41.83","39.08","45.20","44.43"
"TRAVEL TIME PER CALL","44.88","42.85","42.19","44.57","43.15","41.36","41.17","41.74","40.80","41.25","40.64","39.18","39.10","39.71","41.16","38.27","38.23","37.77"
"90001 - Deductible/TripCharge","10,271","14,313","10,820","10,811","13,430","11,587","11,236","13,915","12,254","12,291","14,978","13,141","13,868","16,656","11,649","10,003","14,035","12,563"
"PPT PROFIT PER CALL","$50.69","$54.23","$50.34","$54.31","$58.29","$61.38","$60.19","$55.43","$60.02","$63.34","$61.73","$66.28","$57.53","$54.76","$49.75","$85.50","$99.44","$57.17"
"TOTAL REVENUE PER CALL","$130.98","$130.17","$129.76","$129.78","$128.96","$128.60","$129.31","$128.99","$129.13","$128.86","$128.89","$127.01","$123.29","$122.59","$122.62","$173.16","$166.76","$106.89"
"PPT COST PER CALL","$80.29","$75.94","$79.41","$75.47","$70.68","$67.21","$69.12","$73.55","$69.11","$65.52","$67.16","$60.73","$65.77","$67.83","$72.87","$87.66","$67.32","$49.72"
"LABOR REVENUE PER CALL","$130.30","$129.83","$129.73","$129.77","$128.91","$128.55","$129.29","$128.98","$129.11","$128.81","$128.89","$127.00","$123.26","$122.48","$122.23","$122.18","$119.83","$106.85"
"PAYROLL COST PER CALL","$48.34","$45.70","$47.69","$46.47","$42.78","$41.60","$41.05","$40.78","$40.30","$40.55","$40.50","$37.51","$40.60","$41.61","$42.47","$53.18","$38.85","$41.07"
"BENEFIT COST PER CALL","$14.65","$13.95","$15.61","$13.70","$13.34","$12.14","$12.68","$17.56","$14.16","$11.18","$13.28","$9.61","$10.66","$12.03","$14.39","$15.29","$12.86","$8.61"
"PARTS REVENUE PER CALL","$0.68","$0.34","$0.02","$0.01","$0.05","$0.04","$0.02","$0.01","$0.02","$0.05","$0.01","$0.01","$0.03","$0.11","$0.39","$50.98","$46.92","$0.04"
"PARTS COST PER CALL","$0.05","$0.13","$0.07","$0.03","$0.00","$0.00","$0.04","$0.05","$0.01","$0.01","$0.01","$0.05","$0.01","$0.06","$0.05","$0.01","$0.03","$0.04"
"PARTS UNMARKED COST PER CALL","$0.02","$0.02","$0.05","$0.03","$0.00","$0.00","$0.02","$0.03","$0.01","$0.01","$0.00","$0.00","$0.01","$0.05","$0.03","$0.01","$0.02","$0.01"
"TRUCK COST PER CALL","$17.18","$16.15","$16.04","$15.27","$14.56","$13.46","$15.30","$15.07","$14.61","$13.76","$13.37","$13.53","$14.48","$14.12","$15.94","$19.18","$15.56","$0.00"
"UPS SHIPMENT COST PER CALL","$0.07","$0.00","$0.01","$0.00","$0.00","$0.01","$0.05","$0.10","$0.02","$0.02","$0.00","$0.03","$0.02","$0.01","$0.01","$0.00","$0.02","$0.00"
"%PROFITABLE","92.68%","93.98%","92.83%","94.51%","95.31%","95.91%","95.70%","94.55%","95.28%","96.18%","96.19%","97.02%","95.51%","94.82%","92.69%","85.67%","93.71%","92.09%"
"%UNPROFITABLE","7.32%","6.02%","7.17%","5.49%","4.69%","4.09%","4.30%","5.45%","4.72%","3.82%","3.81%","2.98%","4.49%","5.18%","7.31%","14.33%","6.29%","7.91%"
"PROFITABLE SOS","9,519","13,451","10,044","10,218","12,800","11,113","10,753","13,157","11,675","11,822","14,407","12,750","13,245","15,794","10,797","8,570","13,152","11,569"
"UNPROFITABLE SOS","752","862","776","593","630","474","483","758","579","469","571","391","623","862","852","1,433","883","994"
