"","202506","202505","202504","202503","202502","202501","202412","202411","202410","202409","202408","202407","202406","202405","202404","202403","202402","202401"
"All - Total","76,833","112,733","89,216","92,484","120,670","104,155","108,362","127,129","111,691","123,243","162,628","155,432","146,914","173,673","129,454","109,569","167,461","143,918"
"PPT PROFIT PER CALL","$65.05","$65.52","$54.91","$60.62","$57.44","$62.53","$58.05","$50.00","$45.97","$52.99","$47.02","$53.89","$52.83","$58.14","$50.38","$32.38","$43.95","$58.43"
"TOTAL REVENUE PER CALL","$224.74","$218.46","$216.48","$215.82","$213.25","$211.59","$207.35","$206.74","$197.70","$194.67","$192.48","$191.29","$185.42","$190.20","$185.49","$173.64","$183.10","$180.59"
"PPT COST PER CALL","$159.69","$152.94","$161.58","$155.20","$155.81","$149.06","$149.30","$156.74","$151.73","$141.69","$145.46","$137.39","$132.59","$132.05","$135.11","$141.25","$139.15","$122.17"
"LABOR REVENUE PER CALL","$154.94","$153.90","$146.20","$145.24","$142.66","$141.47","$142.78","$148.35","$143.91","$140.28","$137.16","$135.67","$135.83","$138.84","$136.17","$131.67","$128.85","$126.49"
"PAYROLL COST PER CALL","$67.13","$64.10","$66.73","$64.31","$61.50","$59.94","$58.95","$58.86","$58.64","$57.69","$57.00","$52.18","$56.35","$57.62","$59.25","$69.72","$56.50","$61.20"
"BENEFIT COST PER CALL","$20.08","$19.29","$21.63","$18.80","$19.07","$17.46","$18.22","$25.19","$20.57","$15.83","$18.66","$13.27","$14.60","$16.61","$19.76","$19.69","$17.72","$15.91"
"PARTS REVENUE PER CALL","$69.80","$64.57","$70.28","$70.57","$70.59","$70.12","$64.57","$58.39","$53.79","$54.39","$55.32","$55.62","$49.59","$51.35","$49.32","$41.97","$54.25","$54.10"
"PARTS COST PER CALL","$43.33","$41.51","$42.90","$44.24","$46.41","$43.27","$43.62","$45.11","$45.30","$41.39","$43.95","$45.50","$34.95","$32.10","$28.89","$24.30","$39.72","$41.30"
"PARTS UNMARKED COST PER CALL","$5.32","$5.02","$5.20","$5.54","$4.81","$4.00","$4.84","$5.51","$6.44","$6.56","$7.72","$12.03","$3.10","$1.94","$2.26","$3.28","$2.76","$0.13"
"TRUCK COST PER CALL","$23.18","$21.91","$22.36","$20.71","$20.53","$19.31","$21.30","$21.14","$20.69","$19.44","$18.28","$18.60","$19.83","$19.38","$21.80","$24.31","$21.03","$0.00"
"UPS SHIPMENT COST PER CALL","$5.99","$6.13","$7.96","$7.14","$8.29","$9.08","$7.21","$6.46","$6.52","$7.34","$7.58","$7.85","$6.86","$6.34","$5.40","$3.23","$4.18","$3.76"
"%PROFITABLE","77.24%","76.92%","73.24%","73.97%","72.36%","74.22%","73.32%","71.70%","69.99%","70.06%","68.89%","70.86%","71.78%","73.70%","70.98%","62.76%","68.83%","75.57%"
"%UNPROFITABLE","22.76%","23.08%","26.76%","26.03%","27.64%","25.78%","26.68%","28.30%","30.01%","29.94%","31.11%","29.14%","28.22%","26.30%","29.02%","37.24%","31.17%","24.43%"
"PROFITABLE SOS","59,346","86,714","65,343","68,407","87,319","77,304","79,451","91,149","78,171","86,341","112,032","110,137","105,454","128,001","91,890","68,767","115,264","108,754"
"UNPROFITABLE SOS","17,487","26,019","23,873","24,077","33,351","26,851","28,911","35,980","33,520","36,902","50,596","45,295","41,460","45,672","37,564","40,802","52,197","35,164"
"TOTAL REVENUE","$17,267,814","$24,627,934","$19,313,632","$19,959,635","$25,732,914","$22,038,171","$22,468,621","$26,282,918","$22,081,399","$23,992,308","$31,302,174","$29,731,981","$27,241,328","$33,031,876","$24,012,429","$19,025,026","$30,661,481","$25,990,844"
"PPT COST","$12,269,825","$17,241,134","$14,415,132","$14,353,203","$18,801,727","$15,525,260","$16,178,393","$19,926,500","$16,946,416","$17,461,889","$23,656,098","$21,355,360","$19,479,376","$22,933,976","$17,490,002","$15,476,732","$23,301,792","$17,582,380"
"PPT PROFIT","$4,997,989","$7,386,801","$4,898,500","$5,606,431","$6,931,186","$6,512,911","$6,290,228","$6,356,418","$5,134,983","$6,530,418","$7,646,077","$8,376,622","$7,761,952","$10,097,900","$6,522,426","$3,548,294","$7,359,689","$8,408,463"
"LABOR REVENUE","$11,904,612","$17,349,281","$13,043,767","$13,432,719","$17,214,359","$14,735,277","$15,472,149","$18,859,278","$16,072,993","$17,289,028","$22,306,166","$21,087,318","$19,955,488","$24,113,351","$17,627,320","$14,426,706","$21,576,855","$18,204,798"
"PAYROLL COST","$5,157,529","$7,225,923","$5,953,484","$5,947,201","$7,420,670","$6,242,971","$6,387,576","$7,482,181","$6,549,027","$7,109,864","$9,269,358","$8,109,715","$8,278,465","$10,007,529","$7,669,663","$7,638,739","$9,462,221","$8,807,544"
"BENEFIT COST","$1,542,532","$2,174,234","$1,929,801","$1,738,862","$2,301,710","$1,818,546","$1,974,350","$3,201,999","$2,298,032","$1,951,000","$3,034,370","$2,062,705","$2,145,670","$2,884,788","$2,558,311","$2,157,672","$2,967,972","$2,289,655"
"PARTS REVENUE","$5,363,201","$7,278,653","$6,269,866","$6,526,916","$8,518,555","$7,302,894","$6,996,472","$7,423,640","$6,008,406","$6,703,280","$8,996,008","$8,644,664","$7,285,841","$8,918,525","$6,385,109","$4,598,320","$9,084,625","$7,786,046"
"PARTS COST","$3,328,999","$4,679,861","$3,827,045","$4,091,284","$5,600,585","$4,507,042","$4,726,841","$5,734,177","$5,059,989","$5,101,013","$7,147,795","$7,072,565","$5,134,005","$5,574,608","$3,739,961","$2,662,359","$6,651,289","$5,943,353"
"PARTS UNMARKED COST","$408,643","$566,174","$463,957","$512,223","$580,539","$416,884","$524,576","$701,080","$719,694","$808,977","$1,254,948","$1,869,587","$455,651","$337,737","$291,996","$359,261","$461,646","$19,070"
"TRUCK COST","$1,780,802","$2,470,446","$1,994,941","$1,915,232","$2,477,819","$2,010,778","$2,308,400","$2,687,423","$2,311,091","$2,395,590","$2,972,554","$2,890,578","$2,913,079","$3,366,431","$2,822,421","$2,663,585","$3,520,890","$0"
"UPS SHIPMENT COST","$459,962","$690,669","$709,861","$660,624","$1,000,944","$945,922","$781,226","$820,720","$728,277","$904,422","$1,232,021","$1,219,796","$1,008,157","$1,100,619","$699,647","$354,378","$699,419","$541,829"
"ED","10,754","1","11,532","1","14,517","2","4","4","13,621","3","4","1","14,632","3","12,387","1","14,962","12,709"
"ED RATE","26.92%","0.00%","25.84%","0.00%","24.78%","0.00%","0.00%","0.00%","23.77%","0.00%","0.00%","0.00%","24.31%","0.00%","24.63%","0.00%","22.66%","22.28%"
"RECALLS","5,128","9,877","7,851","8,361","11,081","9,694","11,142","12,775","10,974","12,697","17,381","15,674","14,534","16,502","12,331","8,376","13,828","13,348"
"RECALL RATE","6.67%","8.76%","8.80%","9.04%","9.18%","9.31%","10.28%","10.05%","9.83%","10.30%","10.69%","10.08%","9.89%","9.50%","9.53%","7.64%","8.26%","9.27%"
"N ATP PER CALL","1.43","1.42","1.42","1.42","1.45","1.45","1.44","1.42","1.39","1.38","1.34","1.32","1.32","1.33","1.31","1.22","1.44","1.44"
"REPAIR TIME PER CALL","52.58","51.21","52.48","53.73","55.00","52.99","52.08","50.91","50.78","52.09","51.78","50.19","49.56","49.98","48.61","45.39","53.30","53.04"
"TRAVEL TIME PER CALL","50.84","48.31","49.06","51.81","51.92","51.12","49.81","49.65","48.51","48.47","47.71","45.37","45.30","46.45","47.90","44.44","44.99","45.62"
"90001 - Deductible/TripCharge","10,493","14,607","11,146","11,145","13,988","12,115","11,769","14,635","12,918","12,882","15,732","13,714","14,486","17,354","12,101","10,408","14,650","13,167"
"PPT PROFIT PER CALL","$50.60","$54.00","$49.31","$54.01","$57.95","$61.17","$60.03","$55.09","$59.58","$62.97","$61.53","$65.89","$57.30","$54.42","$49.33","$84.76","$99.11","$56.78"
"TOTAL REVENUE PER CALL","$131.10","$129.98","$128.73","$129.49","$128.62","$128.37","$129.22","$128.71","$128.62","$128.54","$128.63","$126.72","$123.10","$122.34","$122.36","$172.39","$166.52","$106.87"
"PPT COST PER CALL","$80.50","$75.98","$79.42","$75.48","$70.67","$67.20","$69.19","$73.62","$69.04","$65.57","$67.09","$60.83","$65.80","$67.92","$73.03","$87.63","$67.41","$50.09"
"LABOR REVENUE PER CALL","$130.35","$129.65","$128.71","$129.48","$128.54","$128.32","$129.20","$128.70","$128.57","$128.49","$128.61","$126.69","$123.07","$122.23","$121.97","$121.57","$119.53","$106.77"
"PAYROLL COST PER CALL","$48.46","$45.73","$47.68","$46.50","$42.76","$41.60","$41.10","$40.83","$40.26","$40.60","$40.47","$37.57","$40.65","$41.68","$42.57","$53.16","$38.96","$41.30"
"BENEFIT COST PER CALL","$14.67","$13.96","$15.61","$13.70","$13.33","$12.14","$12.69","$17.57","$14.14","$11.19","$13.26","$9.62","$10.65","$12.05","$14.41","$15.27","$12.86","$8.67"
"PARTS REVENUE PER CALL","$0.75","$0.34","$0.02","$0.01","$0.07","$0.05","$0.02","$0.02","$0.05","$0.05","$0.01","$0.03","$0.03","$0.11","$0.39","$50.82","$46.99","$0.10"
"PARTS COST PER CALL","$0.06","$0.13","$0.07","$0.03","$0.01","$0.01","$0.04","$0.05","$0.04","$0.02","$0.02","$0.07","$0.01","$0.06","$0.06","$0.04","$0.03","$0.12"
"PARTS UNMARKED COST PER CALL","$0.02","$0.02","$0.05","$0.02","$0.01","$0.01","$0.02","$0.03","$0.03","$0.01","$0.00","$0.03","$0.01","$0.04","$0.03","$0.01","$0.02","$0.01"
"TRUCK COST PER CALL","$17.23","$16.16","$16.06","$15.25","$14.56","$13.44","$15.31","$15.09","$14.57","$13.75","$13.34","$13.54","$14.46","$14.13","$15.98","$19.15","$15.54","$0.00"
"UPS SHIPMENT COST PER CALL","$0.07","$0.00","$0.01","$0.00","$0.01","$0.00","$0.06","$0.09","$0.03","$0.02","$0.00","$0.03","$0.03","$0.01","$0.01","$0.00","$0.01","$0.01"
"%PROFITABLE","92.54%","93.85%","92.07%","94.27%","95.04%","95.67%","95.47%","94.29%","94.83%","95.89%","95.94%","96.67%","95.29%","94.59%","92.46%","85.21%","93.35%","91.82%"
"%UNPROFITABLE","7.46%","6.15%","7.93%","5.73%","4.96%","4.33%","4.53%","5.71%","5.17%","4.11%","4.06%","3.33%","4.71%","5.41%","7.54%","14.79%","6.65%","8.18%"
"PROFITABLE SOS","9,710","13,708","10,262","10,506","13,294","11,591","11,236","13,800","12,250","12,352","15,093","13,258","13,804","16,416","11,188","8,869","13,676","12,090"
"UNPROFITABLE SOS","783","899","884","639","694","524","533","835","668","530","639","456","682","938","913","1,539","974","1,077"
"TOTAL REVENUE","$1,375,632","$1,898,666","$1,434,849","$1,443,147","$1,799,074","$1,555,193","$1,520,736","$1,883,734","$1,661,517","$1,655,876","$2,023,565","$1,737,830","$1,783,217","$2,123,070","$1,480,626","$1,794,239","$2,439,530","$1,407,201"
"PPT COST","$844,692","$1,109,877","$885,258","$841,248","$988,517","$814,118","$814,292","$1,077,485","$891,867","$844,697","$1,055,522","$834,250","$953,198","$1,178,623","$883,727","$912,071","$987,620","$659,561"
"PPT PROFIT","$530,940","$788,789","$549,590","$601,899","$810,557","$741,075","$706,444","$806,249","$769,650","$811,178","$968,043","$903,580","$830,020","$944,448","$596,899","$882,168","$1,451,910","$747,640"
"LABOR REVENUE","$1,367,756","$1,893,758","$1,434,595","$1,443,056","$1,798,046","$1,554,628","$1,520,506","$1,883,513","$1,660,845","$1,655,212","$2,023,334","$1,737,379","$1,782,743","$2,121,193","$1,475,952","$1,265,260","$1,751,113","$1,405,834"
"PAYROLL COST","$508,494","$668,045","$531,399","$518,271","$598,118","$504,006","$483,708","$597,578","$520,035","$522,949","$636,608","$515,178","$588,874","$723,299","$515,169","$553,295","$570,727","$543,843"
"BENEFIT COST","$153,952","$203,916","$173,961","$152,668","$186,520","$147,016","$149,316","$257,082","$182,719","$144,145","$208,665","$131,894","$154,335","$209,067","$174,330","$158,963","$188,464","$114,121"
"PARTS REVENUE","$7,876","$4,908","$254","$91","$1,028","$565","$230","$220","$672","$663","$231","$451","$474","$1,878","$4,674","$528,980","$688,417","$1,367"
"PARTS COST","$657","$1,874","$735","$294","$154","$154","$463","$673","$558","$203","$326","$1,009","$83","$959","$683","$411","$497","$1,529"
"PARTS UNMARKED COST","$227","$256","$579","$275","$86","$122","$227","$381","$336","$160","$36","$382","$83","$764","$304","$60","$311","$181"
"TRUCK COST","$180,823","$236,025","$179,055","$170,006","$203,638","$162,882","$180,128","$220,805","$188,181","$177,169","$209,852","$185,700","$209,531","$245,165","$193,372","$199,353","$227,719","$0"
